primary term
accelerate,accelerated
access,accessed
accommodate,accommodates
account,accounts
accrual,accruals
achieve,achieved
achievement,achievements
acknowledge,acknowledged
acquire,acquired
acquisition,acquisitions
action,actions
add,adds
adjust,adjusted
advancement,advancements
advantage,advantaged,advantages
aggregate,aggregated
allow,allowed,allows
america,americas
amount,amounts
analyst,analysts
announcement,announcements
answer,answered,answers
anticipate,anticipated
appeal,appeals
application,applications
appreciate,appreciated
architecture,architectures
area,areas
arrangement,arrangements
array,arrayes,arrays
ask,asked
asp,asps
aspect,aspects
asset,assets
assumption,assumptions
attribute,attributed
average,averages
backup,backups
balance,balanced,balances
base,based
become,becomes
begin,begins
beginning,beginnings
benefit,benefited,benefits
blend,blended
book,booked
box,boxes
brand,branded
broadbase,broadbased
bucket,buckets
build,builds
business,businesses
buyback,buybacks
calculation,calculations
call,called,calls
case,cases
center,centers
chain,chains
challenge,challenged,challenges
change,changed,changes
characterize,characterized
charge,charges
client,clients
close,closed,closes
combine,combined
come,comes
comment,commented,comments
commitment,commitments
company,companys
competition,competitions
competitor,competitors
complete,completed
component,components
concern,concerned,concerns
conclude,concluded,concludes
configuration,configurations
connect,connected
consider,considered
constraint,constraints
continue,continued,continues
contribute,contributes
controller,controllers
conversation,conversations
cost,costs
count,counts
couple,coupled
cover,covered
create,created
cross,crossed
csp,csps
customer,customers
day,days
deal,deals
decide,decided
decline,declined,declines
decrease,decreased
defend,defended
deliver,delivered,delivers
demand,demands
demonstrate,demonstrated,demonstrates
depend,depends
deploy,deployed
deployment,deployments
design,designed
desktop,desktops
detail,detailed,details
develop,developed,develops
development,developments
device,devices
difference,differences
differentiate,differentiated
digital,digitals
disclose,disclosed
discuss,discussed
discussion,discussions
disk,disks
dividend,dividends
drive,drives
driver,drivers
dso,dsos
dynamic,dynamics
ebb,ebbs
economic,economics
effort,efforts
element,elements
employee,employees
enable,enabled,enables
end,ended,ends
enhance,enhanced
enter,entered
enterprise,enterprises
environment,environments
establish,established
estimate,estimated,estimates
event,events
everybody,everybodys
exabyte,exabytes
example,examples
exceed,exceeded,exceeds
execute,executed
exist,exists
exit,exited
expand,expanded
expect,expected
expectation,expectations
expenditure,expenditures
expense,expenses
factor,factors
favor,favors
feature,features
feel,feels
figure,figures
finding,findings
flavor,flavors
flow,flows
focus,focused
forecast,forecasted,forecasts
form,formed,forms
fundamental,fundamentals
gain,gained,gains
generate,generated,generates
get,gets
gigabyte,gigabytes
give,gives
goal,goals
good,goods
grow,grows
guess,guessed
guide,guided,guides
happen,happened,happens
hdd,hdds
head,headed,heads
hear,heard
help,helped
highlight,highlighted,highlights
home,homes
hybrid,hybrids
impact,impacted,impacts
improve,improved,improves
improvement,improvements
include,included,includes
increase,increased,increases
indicate,indicated
individual,individuals
industry,industrys
innovation,innovations
insight,insights
intangible,intangibles
integrate,integrated
interest,interested
introduce,introduced
introduction,introductions
invest,invested
investment,investments
investor,investors
isp,isps
issue,issued,issues
item,items
job,jobs
join,joined
kind,kinds
know,knows
launch,launched
layer,layers
let,lets
level,levels
lift,lifted
like,likes
limit,limited
line,lined,lines
live,lives
load,loaded
look,looked,looks
loss,losses
lot,lots
lower,lowered
make,makes
manage,managed
management,managements
margin,margins
market,markets
marketplace,marketplaces
material,materials
matter,matters
mean,means
mention,mentioned,mentions
model,modeled,models
moderation,moderations
month,months
move,moves
need,needs
new,news
note,noted
notebook,notebooks
number,numbers
oem,oems
offer,offers
offering,offerings
office,offices
offset,offsets
one,ones
operation,operations
operator,operators
order,orders
participant,participants
partnership,partnerships
pick,picks
place,places
plan,plans
platform,platforms
platter,platters
play,plays
please,pleased
point,pointed,points
position,positioned,positions
post,posted
predict,predicted,predicts
prediction,predictions
present,presented
price,prices
proceed,proceeds
process,processes
product,products
profile,profiles
progress,progresses
proposition,propositions
provide,provided,provides
provider,providers
purchase,purchases
push,pushed
put,puts
qualification,qualifications
quarter,quarters
raise,raised
rate,rates
rationalize,rationalized
realize,realized
reason,reasons
recognize,recognized
reconcile,reconciled
reconciliation,reconciliations
record,recorded
recover,recovers
redemption,redemptions
reflect,reflected,reflects
refresh,refreshed,refreshes
regard,regards
relationship,relationships
remain,remained,remains
report,reported
repurchase,repurchased,repurchases
reserve,reserved
respond,responded
response,responses
restriction,restrictions
result,resulted,results
return,returned,returns
revenue,revenues
rich,richs
right,rights
risk,risks
run,runs
sale,sales
say,says
seagate,seagates
seem,seemed,seems
segment,segments
segmentation,segmentations
separate,separated
serve,served
server,servers
service,serviced,services
share,shared,shares
shareholder,shareholders
shift,shifted,shifts
shipment,shipments
show,showed,shows
side,sides
sign,signs
singledigit,singledigits
solution,solutions
sort,sorted
sound,sounded,sounds
space,spaces
speak,speaks
ssd,ssds
stabilize,stabilizes
stage,stages
start,started,starts
state,stated
statement,statements
stay,stayed,stays
stec,stecs
step,steps
steve,steves
store,stored
suggest,suggests
support,supports
surprise,surprised
system,systems
tablet,tablets
take,takes
talk,talked
target,targeted,targets
team,teams
technology,technologys
tend,tended,tends
terabyte,terabytes
term,terms
thank,thanks
thing,things
thought,thoughts
tie,tied,ties
today,todays
total,totaled
touch,touched
transition,transitions
trend,trends
undertake,undertakes
unit,units
update,updated
use,used,uses
user,users
utilization,utilizations
value,valued,values
var,vars
view,views
volume,volumes
walk,walked
want,wanted,wants
way,ways
week,weeks
win,wins
word,worded,words
work,worked,works
workload,workloads
world,worlds
year,years
yield,yields
zettabyte,zettabytes
